image,width,height,username,x,y,timestamp
img.png,260,542,test,109.9416309595108,218.197290122509, 1.0
img.png,260,542,test,133.74073147773743,190.2215564250946, 1.0
img.png,260,542,test,114.91771459579468,222.8144878745079, 1.0
img.png,260,542,test,100.25770485401154,186.35142838954926, 1.0
img.png,260,542,test,107.00721144676208,166.57020145654678, 1.0
img.png,260,542,test,99.97183561325073,179.97862488031387, 1.0
img.png,260,542,test,106.3959938287735,212.09050804376602, 1.0
img.png,260,542,test,129.27923262119293,224.59433907270432, 1.0
img.png,260,542,test,123.58703851699829,194.4707435965538, 1.0
img.png,260,542,test,118.95465970039368,167.2936395406723, 1.0
img.png,260,542,test,133.53350281715393,196.44677126407623, 1.0
img.png,260,542,test,87.06125140190125,262.5572884082794, 1.0
img.png,260,542,test,78.03078055381775,377.8656657934189, 1.0
img.png,260,542,test,102.39146888256073,393.8708550930023, 1.0
img.png,260,542,test,122.39584565162659,414.6465973854065, 1.0
