image,width,height,username,x,y,timestamp
img.png,438,927,test,226.56403756141663,455.3063195049763, 1.0
img.png,438,927,test,201.82563203573227,501.2398020029068, 1.0
img.png,438,927,test,160.01517122983932,544.0129773616791, 1.0
img.png,438,927,test,162.26393562555313,452.0548440814018, 1.0
img.png,438,927,test,159.3914789557457,336.2368933260441, 1.0
img.png,438,927,test,151.80403661727905,242.9149930179119, 1.0
img.png,438,927,test,143.42495673894882,181.88460896909237, 1.0
img.png,438,927,test,159.34664046764374,168.03798374533653, 1.0
img.png,438,927,test,180.19422698020935,175.92575320601463, 1.0
img.png,438,927,test,191.90656220912933,171.69100020825863, 1.0
img.png,438,927,test,189.00324726104736,152.5424005240202, 1.0
img.png,438,927,test,193.5484601855278,130.80087813735008, 1.0
img.png,438,927,test,228.81371569633484,125.22878310084343, 1.0
img.png,438,927,test,271.68510603904724,122.13809537887573, 1.0
img.png,438,927,test,281.5804578065872,142.91943615674973, 1.0
img.png,438,927,test,274.0203101634979,169.11731953918934, 1.0
img.png,438,927,test,277.1592915058136,222.98311963677406, 1.0
img.png,438,927,test,278.12722849845886,324.0930568277836, 1.0
img.png,438,927,test,275.664022564888,403.8296671807766, 1.0
img.png,438,927,test,277.6377775669098,441.4579676091671, 1.0
img.png,438,927,test,274.4320932626724,479.4718546271324, 1.0
img.png,438,927,test,274.097247004509,466.87151366472244, 1.0
img.png,438,927,test,274.5452924966812,438.0439363718033, 1.0
img.png,438,927,test,262.9791816473007,415.4038400352001, 1.0
img.png,438,927,test,263.34700083732605,476.0548673272133, 1.0
img.png,438,927,test,261.21237552165985,553.35385876894, 1.0
img.png,438,927,test,256.42059659957886,600.6372120380402, 1.0
img.png,438,927,test,230.14216196537018,617.6306487321854, 1.0
img.png,438,927,test,218.26121574640274,598.4427085518837, 1.0
img.png,438,927,test,193.054205596447,556.7610109448433, 1.0
img.png,438,927,test,176.80967170000076,542.3399012088776, 1.0
img.png,438,927,test,181.84154212474823,549.3195240497589, 1.0
